build_year,eff
1900,16.099175809990058
1910,17.292889918202494
1920,15.278398179239431
1930,15.960196461761967
1940,11.737416470840754
1950,14.718635677260497
1960,12.402680958644796
1970,11.805734805638377
1980,12.029568284343513
1990,12.303868221955584
2000,7.0667274052526245
2010,7.485735341552834
