build_year,x_coord,y_coord
1981,23.303357596645927,55.93434608185759
1984,22.951034101185613,55.987235079458756
1937,23.31540251151393,55.93287742045852
2007,23.309599167108246,55.92894620271307
1900,23.274151881355852,55.906005131010666
1997,23.29606554891696,55.923434596769205
1972,23.301571810159455,55.93842345933014
1973,23.26560553065746,55.90465185024754
1953,23.28980220674763,55.917721063060085
1960,23.280362575823883,55.93419595276328
1976,23.31354594227672,55.93379238949173
1969,23.30630869804562,55.92951164668251
2012,23.293603034730136,55.9418276923519
1910,23.314600718308014,55.930249784642605
1992,22.925562759970475,55.99147168453928
1900,23.316650621500973,55.931977017303595
1987,23.29276710261075,55.93499544333582
1982,23.26380212502111,55.92049705042721
1977,23.269207458984337,55.91295611105706
1965,23.312195507487786,55.94858962399599
1981,23.26332905249177,55.91085487672099
1978,23.270291941760537,55.90971947987498
1954,23.32772306424928,55.854402238685054
1968,23.321385798996705,55.92017193326359
1972,22.944954536136482,56.002150090910646
1985,23.294344172468566,55.93187822823792
1979,23.263400855789868,55.91044206267716
1973,23.26612268599939,55.90521191369554
1955,23.313603039087983,55.932373316941714
1968,23.242683244383546,56.089410298446765
1990,23.24998045739106,55.91713467541841
1987,23.30911067618989,55.94650617073666
1972,23.26864843891389,55.907814202289835
1979,23.263357306063984,55.910208229809726
1965,23.323877101700575,55.930534611826005
1996,22.933127796597265,56.001374562896004
1958,22.954940405205573,55.985606262326506
1938,23.319346874945612,55.93427374642038
1989,23.247281958389248,55.909446252976615
1989,23.27646486168083,55.914912449850625
1976,23.271336643175303,55.91030061195056
1987,23.302908008504502,55.93264565902824
1968,23.423154939782695,55.92197515257949
1975,23.264987175902153,55.89760504535316
1963,23.323952835269385,55.92986126625698
1925,23.323433949403256,55.93484424894112
1961,23.321699132815883,55.92329991555554
1959,23.305396352984467,55.929524473318196
1967,22.940678253228196,56.00433241000956
1956,22.941290830710564,55.974888985017586
1989,23.33286258572107,55.8527233242194
1984,23.346376606309388,55.92387350980305
1993,23.240568984525833,55.90676387326058
1971,23.31682119369525,55.92683042450727
1996,23.323364392063986,55.933325659380564
1968,23.304972941134178,55.92814761033529
1975,23.27121798223718,55.908952377466136
1975,23.28110829000441,55.91293630923469
1979,23.31599389159631,55.93019464278625
1937,22.934623429532312,56.004702487095955
1992,23.331638746474145,55.851449997727705
1978,23.260781747074297,55.91359756591745
1988,23.347266419862585,55.93280779589783
1988,23.251256928473822,55.91066529547875
1953,23.334255869854623,55.85530017451742
1991,23.2474220455625,55.91047123565756
1967,23.28363370289393,55.91390327749128
1982,23.265516321502492,55.91614128208809
1966,23.305948163722203,55.93535786907955
1953,23.33465941766754,55.85505081642863
1986,23.255701908826108,55.91658544870812
1960,23.334607167124528,55.92350506402858
1920,23.313165783157668,55.92904698930015
1975,23.26380970421465,55.90659056129692
1974,23.263406881814824,55.90590540221428
1900,23.310264171496907,55.932947580796224
1986,23.28004678351075,55.91670319414788
1981,23.256250543692754,55.912995341273344
1993,23.247656331495573,55.91406609233379
1971,23.266762176342503,55.9035268132564
1965,23.326055485131125,55.9341040042888
1973,23.28955403947199,55.94003466659073
1967,23.28904686736298,55.916162555873306
1992,23.282021273318804,55.90594345533437
1950,23.29613803436367,55.920317731696834
1961,23.319516011351062,55.926450065284335
1966,23.320275919857185,55.93514128915044
1974,23.26253387888758,55.90555880254763
1956,22.949080666910554,56.01020776949369
1981,23.342804139779844,55.92414197489483
1960,22.935309725958348,56.00540016039894
1961,23.316532383116346,55.9259664072962
1984,23.253852832557364,55.917077340833
1925,23.319442080598645,55.929755580582174
1978,22.952144538969847,55.98647192122392
1990,23.248407506724217,55.912444653581304
1962,23.309706714239965,55.93909814507149
1956,22.955233254416008,55.983066349202126
1925,23.318211402603875,55.92693694431948
1976,23.289028921296325,55.93811815360686
1986,23.278427468336364,55.91603792097762
2009,23.255095446236712,55.90483128619758
1961,23.31598491749752,55.92525367279856
1960,23.35773971274309,55.91302733441584
1985,23.303213449752224,55.931677169472415
1968,23.305768276636265,55.928412616060264
1983,23.257273950756463,55.90715321954536
1982,23.32033358964461,55.9291047074976
1960,23.322770137889936,55.927024972878456
1992,23.242660097132664,55.90450390468503
1984,23.294873341312393,55.921244784653304
1954,23.31582566822708,55.93156818219375
1993,23.249019914918787,55.91137934499533
1987,22.94111596139173,56.00181174461627
1989,23.251372407721544,55.91131281392156
1976,23.271946538152676,55.9093339953269
1900,23.32123172482624,55.92441129424065
1985,22.92563107201896,55.99652114531141
1972,23.26403883773659,55.89955779985353
1993,23.282431939176206,55.91748071180515
1966,23.32322882814631,55.923658684869125
1989,23.27717161930504,55.91475489563326
1968,23.288231909279197,55.939685663780295
1974,23.26758183623262,55.90840077872388
1965,23.31606865359263,55.92958418064567
1935,23.313699735565507,55.93505093388032
1949,23.314657217011483,55.93430165092177
1982,23.268082075535766,55.9124104160801
1988,23.240943690898007,55.90886833973634
1959,23.306978565874413,55.93591166165777
1900,26.31226529228991,55.51977377291713
1930,23.314211487883107,55.929636741411734
1900,23.297521557859486,55.91635491426762
1983,23.307753203590288,55.94003943453089
1980,23.3177416715622,55.940921623815825
1971,23.267140437731907,55.902972083910655
1961,23.31723575540278,55.92691357414224
1982,22.953590705386215,55.98751733200868
1967,23.28595127562593,55.91661179355121
1974,23.26974171464566,55.9083597025305
1977,23.26579171964506,55.90664731051878
1972,23.2775169338017,55.909088306823385
1900,23.294390484340273,55.919642953800334
1953,23.3053320507371,55.93132979321841
1985,23.256542239829145,55.91614134594434
1995,23.281445563669376,55.90507767722097
